Name,#,Created time,Difficult,Last edited time,Priority,Status,Tags,link,practicedTimes,related,source
Longest Palindromic Subsequence,516,"December 12, 2022 11:15 PM",Medium,"October 28, 2023 12:40 AM",Medium,,dp-Pyr,https://leetcode.com/problems/longest-palindromic-subsequence/,,"Longest Palindromic Substring (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Longest%20Palindromic%20Substring%20ea1a3cc3811747edba0fc9d58fe1d494.csv), Valid Palindrome III (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Valid%20Palindrome%20III%20517a78a10eeb4597af212af8b9e8f366.csv)","HuaHua, wp动归套路"
Target Sum,494,"December 31, 2022 4:55 PM",Medium,"October 12, 2023 2:56 PM",High,Dig More,dp-backpack,https://leetcode.com/problems/target-sum/,,Last Stone Weight II (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Last%20Stone%20Weight%20II%20d176e566332940948976aaca36fd3d1a.csv),"HuaHua, wp动归套路"
Tallest Billboard,956,"January 9, 2023 10:54 PM",Hard,"October 12, 2023 2:56 PM",High,Dig More,dp-backpack,https://leetcode.com/problems/tallest-billboard/,,Painting the Walls (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Painting%20the%20Walls%204b6e131cda2142f28962adfa49d05bed.csv),"HuaHua, wp动归套路"
Profitable Schemes,879,"January 3, 2023 10:44 PM",Hard,"October 12, 2023 2:56 PM",High,Dig More,dp-backpack,https://leetcode.com/problems/profitable-schemes/,,,"HuaHua, wp动归套路"
Smallest Sufficient Team,1125,"January 12, 2023 6:37 PM",Hard,"October 12, 2023 2:56 PM",High,Dig More,"BitMask, dp-backpack, dp-bitMask",https://leetcode.com/problems/smallest-sufficient-team/,,,"HuaHua, leetcode_daily, wp动归套路"
Find the Shortest Superstring,943,"March 14, 2023 9:52 PM",Hard,"October 12, 2023 2:56 PM",High,,"Graph, Permutation, TSP/HamiltonianPath, complete_graph, dp-bitMask, search",https://leetcode.com/problems/find-the-shortest-superstring/,,Number of Squareful Arrays (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Number%20of%20Squareful%20Arrays%200de26cd61dca45819145a897da4cda1b.csv),"HuaHua, wp动归套路"
Maximum Students Taking Exam,1349,"January 14, 2023 5:03 PM",Hard,"October 12, 2023 2:56 PM",High,Dig More,"dp-TimeSeqFromLastOne-Power, dp-bitMask",https://leetcode.com/problems/maximum-students-taking-exam/,,,"HuaHua, wp动归套路"
Super Egg Drop,887,"May 19, 2023 12:25 PM",Hard,"October 17, 2023 6:24 PM",High,"No Idea At First, NotUnderstand, noPatten, out of scope, toRevisit","BS_todo, dp-noPattern",https://leetcode.com/problems/super-egg-drop/,,,"HuaHua, wp动归套路"
Stone Game II,1140,"May 25, 2023 10:08 PM",Medium,"October 12, 2023 2:56 PM",High,"More Solution, toRevisit","DP, Game",https://leetcode.com/problems/stone-game-ii/,,,"HuaHua, leetcode_daily"
Stone Game III,1406,"May 26, 2023 6:21 PM",Hard,"October 12, 2023 2:56 PM",Medium,,"Game, dp-TimeSeqFromLastOne-Power",https://leetcode.com/problems/stone-game-iii/,,,"HuaHua, leetcode_daily"
Stone Game VII,1690,"June 19, 2023 1:55 PM",Hard,"October 12, 2023 2:56 PM",High,,Game,https://leetcode.com/problems/stone-game-vii/,,,HuaHua
Binary Search,704,"June 24, 2022 6:17 PM",Easy,"October 13, 2023 11:26 PM",Pass,,BS_Idx,https://leetcode.com/problems/binary-search/,1,,"HuaHua, jiuzhang, 算初BS"
Find Minimum in Rotated Sorted Array,153,"June 26, 2022 11:00 AM",Medium,"October 12, 2023 2:57 PM",Medium,,"BS_Idx, Divide and Conquer",https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,1,Find Minimum in Rotated Sorted Array II (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Find%20Minimum%20in%20Rotated%20Sorted%20Array%20II%207d3fc5585d744ed6b420a83fa07fb508.csv),"HuaHua, LC_Top_Interview_150, jiuzhang, 算初BS"
Search in Rotated Sorted Array,33,"July 8, 2022 12:32 PM",Medium,"October 12, 2023 2:57 PM",Low,,BS_Idx,https://leetcode.com/problems/search-in-rotated-sorted-array/,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, leetcode_daily, 算初BS"
Balanced Binary Tree,110,"July 8, 2022 4:26 PM",Easy,"October 12, 2023 3:41 PM",Low,,"Divide and Conquer, Tree, toNull",https://leetcode.com/problems/balanced-binary-tree,1,,"HuaHua, jiuzhang, 算初Tree Divide&Conquer"
Binary Tree Preorder Traversal,144,"July 8, 2022 4:26 PM",Easy,"October 12, 2023 3:41 PM",Low,,"Iterate, Tree",https://leetcode.com/problems/binary-tree-preorder-traversal/,1,,"HuaHua, jiuzhang, 算初Tree Divide&Conquer"
Binary Tree Postorder Traversal,145,"July 8, 2022 4:26 PM",Easy,"October 12, 2023 3:41 PM",Low,,"Iterate, Tree",https://leetcode.com/problems/binary-tree-postorder-traversal/,1,,"HuaHua, jiuzhang, 算初Tree Divide&Conquer"
Lowest Common Ancestor of a Binary Tree,236,"July 8, 2022 4:26 PM",Medium,"October 17, 2023 6:24 PM",High,"Dig More, toRevisit","BinaryLifting, DFS, Divide and Conquer, Tree",https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,,"Kth Ancestor of a Tree Node (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Kth%20Ancestor%20of%20a%20Tree%20Node%20847479db64aa4644aafb1eb95986bdcf.csv), Minimum Edge Weight Equilibrium Queries in a Tree (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Minimum%20Edge%20Weight%20Equilibrium%20Queries%20in%20a%20Tree%20ba9b8fbaf4f84f88b3432babdc3bf0fb.csv), Lowest Common Ancestor of a Binary Tree II (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Lowest%20Common%20Ancestor%20of%20a%20Binary%20Tree%20II%20d25a677fff6f4935bac0a9c113aa1098.csv)","HuaHua, LC_75, LC_Top_Interview_150, jiuzhang, 算初Tree Divide&Conquer"
Binary Tree Inorder Traversal,94,"July 8, 2022 4:26 PM",Easy,"October 12, 2023 3:41 PM",Low,,"Iterate, Tree",https://leetcode.com/problems/binary-tree-inorder-traversal/,1,,"HuaHua, jiuzhang, 算初Tree Divide&Conquer"
Minimum Depth of Binary Tree,111,"July 8, 2022 4:26 PM",Easy,"October 13, 2023 12:47 PM",Low,,"Divide and Conquer, Tree, toLeaf",https://leetcode.com/problems/minimum-depth-of-binary-tree,1,,"HuaHua, jiuzhang, 算初Tree Divide&Conquer"
Validate Binary Search Tree,98,"July 8, 2022 4:26 PM",Medium,"October 13, 2023 12:48 PM",Low,,"Iterate, Tree",https://leetcode.com/problems/validate-binary-search-tree/,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初Tree Divide&Conquer"
Maximum Depth of Binary Tree,104,"July 8, 2022 4:26 PM",Easy,"October 12, 2023 2:57 PM",Pass,,"DFS, Divide and Conquer, Tree, toNull",https://leetcode.com/problems/maximum-depth-of-binary-tree/,1,,"HuaHua, LC_75, LC_Top_Interview_150, jiuzhang, 算初Tree Divide&Conquer"
Delete Node in a BST,450,"July 15, 2022 12:17 AM",Medium,"October 14, 2023 10:40 PM",High,"HardToImplement, More Solution","1Path, BST, Tree",https://leetcode.com/problems/delete-node-in-a-bst/,1,,"HuaHua, LC_75, jiuzhang, 算初Tree Divide&Conquer"
Binary Tree Level Order Traversal,102,"July 15, 2022 12:17 AM",Medium,"November 17, 2023 1:27 AM",Low,,"BFS, Tree, tbfs_preChkNull_wSz",https://leetcode.com/problems/binary-tree-level-order-traversal/,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, ticktokFreq, 算初BFS, 算初Tree Divide&Conquer"
Same Tree,100,"July 15, 2022 12:17 AM",Easy,"October 12, 2023 2:57 PM",Pass,,Tree,https://leetcode.com/problems/same-tree,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初Tree Divide&Conquer"
Merge k Sorted Lists,23,"July 16, 2022 11:50 AM",Hard,"November 17, 2023 1:26 AM",Medium,,"Divide and Conquer, LinkedList, MergeSort, PQ",https://leetcode.com/problems/merge-k-sorted-lists/,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, ticktokFreq, 算初Tree Divide&Conquer"
Median of Two Sorted Arrays,4,"July 16, 2022 11:50 AM",Hard,"October 14, 2023 1:24 PM",High,,"BS_Idx, kth",https://leetcode.com/problems/median-of-two-sorted-arrays/,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初LinkedList&Array, 算初Tree Divide&Conquer"
Binary Tree Maximum Path Sum,124,"July 16, 2022 11:50 AM",Hard,"November 17, 2023 1:27 AM",Medium,,"Divide and Conquer, Tree",https://leetcode.com/problems/binary-tree-maximum-path-sum/,1,"Diameter of Binary Tree (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Diameter%20of%20Binary%20Tree%20a3c0379b41174057a7e2a11333f8d905.csv), Diameter of Binary Tree (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Diameter%20of%20Binary%20Tree%20f378c6013a184759bf96c2149bbdfb93.csv)","HuaHua, LC_Top_Interview_150, jiuzhang, ticktokFreq, 算初Tree Divide&Conquer"
Serialize and Deserialize Binary Tree,297,"July 17, 2022 5:22 PM",Hard,"October 16, 2023 3:56 PM",High,,"BFS, Design, Divide and Conquer, Iterate, Tree, tbfs_postChkNull_soSz",https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,1,Serialize and Deserialize BST (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Serialize%20and%20Deserialize%20BST%20ba35b9d29fc64212a2c4d2973c8f0da8.csv),"HuaHua, jiuzhang, 算初BFS"
Clone Graph,133,"July 17, 2022 11:52 PM",Medium,"October 16, 2023 2:36 PM",Medium,Next Up,"BFS, DFS, Graph, Hash, gbfs_preChkVisited_woSz",https://leetcode.com/problems/clone-graph/,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初BFS"
Binary Tree Level Order Traversal II,107,"July 17, 2022 11:52 PM",Medium,"October 13, 2023 1:01 PM",Pass,,"BFS, Tree",https://leetcode.com/problems/binary-tree-level-order-traversal-ii/,1,,"HuaHua, jiuzhang, 算初BFS"
Course Schedule,207,"July 25, 2022 3:40 PM",Medium,"October 16, 2023 1:00 AM",Medium,,"Graph, TopSorting",https://leetcode.com/problems/course-schedule/,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初BFS"
Number of Islands,200,"July 26, 2022 5:02 PM",Medium,"November 12, 2023 10:41 PM",Medium,,"BFS, Connected_Component, DFS, Graph, Matrix, Union Find, mbfs_preChkVisited_woSZ, search",https://leetcode.com/problems/number-of-islands,1,,"AmazonFreq, HuaHua, LC_Top_Interview_150, jiuzhang, 算初BFS, 算高UnionFind&Trie"
Word Ladder,127,"July 26, 2022 5:37 PM",Hard,"October 16, 2023 3:52 PM",Medium,,"BFS, Graph, gbfs_preChkVisited_wSz, search, string",https://leetcode.com/problems/word-ladder/,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初BFS, 算初DFS"
Subsets,78,"July 28, 2022 12:37 AM",Medium,"October 16, 2023 4:47 PM",Low,More Solution,"BackTracking, BitMask, Combination, search",https://leetcode.com/problems/subsets,1,,"HuaHua, jiuzhang, 算初DFS"
N-Queens,51,"July 29, 2022 4:01 PM",Hard,"October 16, 2023 4:55 PM",Low,,"BackTracking, Permutation, search",https://leetcode.com/problems/n-queens/,1,,"HuaHua, jiuzhang, 算初DFS"
Reverse Linked List,206,"July 29, 2022 4:03 PM",Easy,"October 13, 2023 1:04 PM",Low,,"LinkedList, reverseAll",https://leetcode.com/problems/reverse-linked-list,1,,"HuaHua, LC_75, jiuzhang, 算初LinkedList&Array"
Merge Two Sorted Lists,21,"July 29, 2022 10:57 PM",Easy,"October 16, 2023 4:58 PM",Pass,,"LinkedList, mergeList",https://leetcode.com/problems/merge-two-sorted-lists,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初LinkedList&Array"
Linked List Cycle,141,"July 29, 2022 10:58 PM",Easy,"October 13, 2023 1:04 PM",Pass,,"2pt_SameDir_FastDoubleSpeed, Cycle, Hash, LinkedList",https://leetcode.com/problems/linked-list-cycle/,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, wisdompeak, 算初LinkedList&Array, 算高TwoPointers&PQ"
Rotate List,61,"July 29, 2022 10:58 PM",Medium,"October 17, 2023 6:17 PM",Low,,LinkedList,https://leetcode.com/problems/rotate-list/description/,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初LinkedList&Array"
Sort List,148,"August 2, 2022 10:45 PM",Medium,"October 17, 2023 6:17 PM",Medium,,"Divide and Conquer, LinkedList, MergeSort",https://leetcode.com/problems/sort-list,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初LinkedList&Array"
Valid Palindrome,125,"August 3, 2022 1:37 PM",Easy,"October 19, 2023 5:53 PM",Pass,,2pt_DiffDir,https://leetcode.com/problems/valid-palindrome/,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初TwoPointers"
Maximum Subarray,53,"August 3, 2022 1:37 PM",Medium,"October 17, 2023 6:45 PM",Low,,"Array, Contribution>0, DP, Kadane, Prefix",https://leetcode.com/problems/maximum-subarray/,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初DP, 算初LinkedList&Array, 算高FollowUp"
Move Zeroes,283,"August 3, 2022 1:37 PM",Easy,"October 19, 2023 9:58 PM",High,,"2pt_SameDir_diffSpeed, Array, swap_put_keep_sequence",https://leetcode.com/problems/move-zeroes/,1,"Sort Colors (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Sort%20Colors%20b67e9929642045f0a0e1548122f219d0.csv), Separate Black and White Balls (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Separate%20Black%20and%20White%20Balls%20e7002c023486446da8f4067f7b15cddc.csv)","HuaHua, LC_75, jiuzhang, wisdompeak, 算初TwoPointers"
Two Sum,1,"August 6, 2022 11:35 PM",Easy,"October 13, 2023 1:01 PM",Pass,,"2pt_DiffDir, Hash",https://leetcode.com/problems/two-sum/,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初TwoPointers"
Two Sum II - Input Array Is Sorted,167,"August 6, 2022 11:59 PM",Medium,"October 19, 2023 5:56 PM",Pass,,2pt_DiffDir,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初TwoPointers"
3Sum,15,"August 6, 2022 11:59 PM",Medium,"October 19, 2023 5:53 PM",Pass,,"2pt, 2pt_DiffDir, Hash",https://leetcode.com/problems/3sum/,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, wisdompeak, 算初TwoPointers"
3Sum Closest,16,"August 6, 2022 11:59 PM",Medium,"October 19, 2023 5:54 PM",Pass,,"2pt, 2pt_DiffDir",https://leetcode.com/problems/3sum-closest/,1,,"HuaHua, jiuzhang, wisdompeak, 算初TwoPointers"
Valid Triangle Number,611,"August 6, 2022 11:59 PM",Medium,"October 19, 2023 10:30 PM",High,,"2pt_DiffDir, Greedy, Math",https://leetcode.com/problems/valid-triangle-number/,1,,"HuaHua, jiuzhang, 算初TwoPointers"
LRU Cache,146,"August 11, 2022 1:46 PM",Medium,"October 21, 2023 1:08 PM",Medium,Dig More,"Hash, LinkedList",https://leetcode.com/problems/lru-cache/,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初Hash&Heap"
https://leetcode.com/problems/lfu-cache/,460,"August 11, 2022 6:06 PM",Hard,"October 21, 2023 1:15 PM",Medium,Dig More,"Design, Hash, LinkedList, Tree",https://leetcode.com/problems/lfu-cache/,1,All O`one Data Structure (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/All%20O%60one%20Data%20Structure%205ddb07ce09004136b2b3b972e0469fb8.csv),"HuaHua, jiuzhang, 算初Hash&Heap"
Longest Consecutive Sequence,128,"August 11, 2022 7:19 PM",Medium,"October 21, 2023 1:21 PM",Medium,More Solution,"Hash, Union Find",https://leetcode.com/problems/longest-consecutive-sequence/,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初DP, 算初Hash&Heap"
Ugly Number II,264,"August 11, 2022 7:19 PM",Medium,"October 21, 2023 4:03 PM",High,"Dig More, No Idea At First","DP, Hash, Math, PQ, kth",https://leetcode.com/problems/ugly-number-ii/,1,,"HuaHua, jiuzhang, 算初DP, 算初Hash&Heap"
K Closest Points to Origin,973,"August 15, 2022 1:06 PM",Medium,"October 21, 2023 1:42 PM",Pass,,"Geometry, PQ, TopK",https://leetcode.com/problems/k-closest-points-to-origin/,1,,"HuaHua, jiuzhang, 算初Hash&Heap"
Find Median from Data Stream,295,"August 15, 2022 2:40 PM",Hard,"October 21, 2023 1:24 PM",Medium,,"Design, PQ, Tree",https://leetcode.com/problems/find-median-from-data-stream/,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初Hash&Heap, 算高Heap&Stack"
Kth Smallest Element in a Sorted Matrix,378,"August 15, 2022 9:30 PM",Medium,"October 21, 2023 1:22 PM",Medium,"CalcuComplexity, No Idea At First","BS_Val, PQ, kth",https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/,1,"Kth Smallest Number in Multiplication Table (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Kth%20Smallest%20Number%20in%20Multiplication%20Table%20cc17c7c0be7945be91a361ee02bc6731.csv), K-th Smallest Prime Fraction (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/K-th%20Smallest%20Prime%20Fraction%207c951e5c8ed7479dac2997b627722d17.csv), Find K-th Smallest Pair Distance (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Find%20K-th%20Smallest%20Pair%20Distance%200447f8ad46f94f05991e0c16d880e076.csv)","HuaHua, jiuzhang, 算初Hash&Heap, 算高TwoPointers&PQ"
The Skyline Problem,218,"August 15, 2022 9:49 PM",Hard,"October 21, 2023 9:48 PM",High,,"Geometry, OrderMap, PQ, Sort, Sweep-Line, Tree",https://leetcode.com/problems/the-skyline-problem/description/,1,,"HuaHua, jiuzhang, 算初Hash&Heap, 算高BS&SwipeLine"
Top K Frequent Words,692,"August 15, 2022 9:56 PM",Medium,"October 20, 2023 7:37 PM",Low,,"Hash, PQ, TopK",https://leetcode.com/problems/top-k-frequent-words/,1,,"HuaHua, jiuzhang, 算初Hash&Heap"
Triangle,120,"August 16, 2022 12:06 PM",Medium,"October 22, 2023 12:12 AM",High,,"BFS, Bottom_Up, DP, Triangle",https://leetcode.com/problems/triangle,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初DP"
Minimum Path Sum,64,"August 17, 2022 10:22 PM",Medium,"October 13, 2023 1:02 PM",Pass,,"DP, GoForth, Matrix",https://leetcode.com/problems/minimum-path-sum/,1,Dungeon Game (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Dungeon%20Game%205ff72ee6351c4f03921d486075ab9234.csv),"HuaHua, LC_Top_Interview_150, jiuzhang, 算初DP, 算高DP上"
Unique Paths,62,"August 17, 2022 11:25 PM",Medium,"October 13, 2023 1:02 PM",Pass,,"DP, GoForth, Matrix",https://leetcode.com/problems/unique-paths,1,,"HuaHua, LC_75, jiuzhang, 算初DP, 算高DP上"
Climbing Stairs,70,"August 17, 2022 11:27 PM",Easy,"October 13, 2023 1:02 PM",Pass,,"Array, DP, GoForth",https://leetcode.com/problems/climbing-stairs,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初DP, 算高DP上"
Jump Game,55,"August 17, 2022 11:30 PM",Medium,"October 21, 2023 11:56 PM",Medium,More Solution,"Array, DP, GoForth, Greedy, buildFutureResults",https://leetcode.com/problems/jump-game/,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初DP"
Jump Game II,45,"August 17, 2022 11:31 PM",Medium,"November 17, 2023 1:28 AM",Medium,More Solution,"Array, DP, GoForth, Greedy, buildFutureResults",https://leetcode.com/problems/jump-game-ii,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, ticktokFreq, 算初DP"
Longest Substring Without Repeating Characters,3,"August 20, 2022 1:35 PM",Medium,"October 22, 2023 2:11 PM",Medium,,"2pt_SameDir_maxWin_chkValidBfrR, Hash, Sliding Window",https://leetcode.com/problems/longest-substring-without-repeating-characters/,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, 算高TwoPointers&PQ"
Surrounded Regions,130,"August 27, 2022 9:49 PM",Medium,"October 22, 2023 3:15 PM",Low,More Solution,"BFS, DFS, Graph, Union Find, search",https://leetcode.com/problems/surrounded-regions/,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, 算高UnionFind&Trie"
Implement Trie (Prefix Tree),208,"August 27, 2022 11:05 PM",Medium,"October 22, 2023 3:13 PM",Medium,,"Design, Tree, Trie",https://leetcode.com/problems/implement-trie-prefix-tree/,1,,"HuaHua, LC_75, LC_Top_Interview_150, jiuzhang, 算高UnionFind&Trie"
Count of Smaller Numbers After Self,315,"August 31, 2022 12:01 AM",Hard,"December 18, 2023 11:10 PM",High,"More Solution, No Idea At First","Divide and Conquer, MergeSort, SegmentTree_val, Tree",https://leetcode.com/problems/count-of-smaller-numbers-after-self/,1,Reverse Pairs (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Reverse%20Pairs%20253d0403dba84fc2857f5c4546ebdd39.csv),"HuaHua, jiuzhang, 算高SegmentTree"
